Level,TrialsPerBlock,FixedABL,DifferentABLs,ABLBlock,ILDStepSize,ILDSteps,UseLog,LogBase,IntendedITI,ITIReset,MaxWait,OptoExpMean,SoundExpMean,UseRT,UseMaxRT,MaxMT,AbortPenalty,IncorrectPenalty,FixationAbortPenalty,UsePerformance,CriticalPerformance,MaxAborts,RepeatError,RepeatAbort,Speakers,AbortLight,ITILight,PokeLight,FixLight
1,200,25,0,0,50,1,0,2,1,0,180,0,0,0,1,180,1,1,1,0,0.8,40,1,1,0,1,1,1,1
2,200,25,0,0,50,1,0,2,2,0,30,0,0,0,1,30,1,3,1,0,0.8,40,1,1,0,1,1,1,1
3,200,25,0,0,50,1,0,2,3,0,30,0,0,0,1,10,1,10,1,0,0.8,40,1,1,0,1,1,1,1
4,100,25,1,0,50,1,0,2,3,0,10,0,0,1,1,6,1,10,1,1,0.8,40,0,1,0,1,1,1,1
5,3,25,1,0,50,1,0,2,3,0,10,0,0,1,1,6,1,10,5,1,0.8,40,0,1,0,1,1,1,1
6,100,25,1,0,50,1,0,2,3,0,10,12.5,12.5,1,1,6,1,10,5,1,0.8,40,0,1,0,1,1,1,1
7,80,50,1,0,4.5,4,0,2,3,0,60,12.5,12.5,1,1,6,1,10,5,1,0.8,40,0,1,1,1,1,1,1
8,80,50,1,0,4,4,0,2,3,0,60,12.5,12.5,1,1,6,1,10,5,1,0.8,40,0,1,1,1,1,1,1
9,80,50,1,0,3.5,4,0,2,3,0,60,25,25,1,1,6,1,10,5,1,0.8,40,0,1,1,1,1,1,1
10,80,50,1,0,3,4,0,2,3,0,60,37.5,37.5,1,1,6,1,20,5,1,0.8,40,0,1,1,1,1,1,1
11,80,50,1,0,2.5,4,0,2,3,0,60,50,50,1,1,6,1,20,5,1,0.8,40,0,1,1,1,1,1,1
12,80,50,1,0,2,4,0,2,3,0,60,75,75,1,1,6,1,20,5,1,0.8,40,0,1,1,1,1,1,1
13,80,50,1,0,2,4,1,2,4,0,60,100,100,1,1,6,1,20,6,1,0.8,40,0,1,1,1,1,1,1
14,96,50,1,0,2,4,1,2,5,1,60,100,100,1,1,6,1,15,7,1,0.8,40,0,1,1,1,1,1,1
15,96,50,1,0,2,4,1,2,6,1,60,150,150,1,1,6,1,15,8,0,0.8,40,0,1,1,1,1,1,1
16,100,50,0,0,2,4,1,2,8,1,60,200,200,1,1,6,1,10,10,0,0.8,40,0,1,1,1,1,1,1
